WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
7FNHo7yn22Fh7QXep9Lxw3F6Rrv7cY1EwmLGLsT5MRop,EXITED,1,0.1374863884,0.1119250451,1.22837912,0.3913043478,0.6086956522,GAIN_10_TO_25,24,23,0,0,1,23,0,69,"null","null"
3Ju8d6TEq7LeaLZUVMAke1EeDsgAxafLuS2dr3veAj2J,ACTIVE,0,0.1357343978,0.3220813094,0.4214289803,0.6097560976,0.3780487805,GAIN_10_TO_25,82,82,0,0,0,81,1,70,"null","null"
8k7mbMhvdS3amMcVEmG8dgGy1dtUbiRmUP3wuWTMUMpE,ACTIVE,0,0.1331001021,0.331233589,0.4018315369,0.6383838384,0.3373737374,GAIN_10_TO_25,495,495,0,0,0,495,0,71,"null","null"
GjFPd7FEA4FRP8BsKo3LoJDJ9kaD6MuLiHpxud1q6zE2,ACTIVE,0,0.1324877853,0.3498065335,0.3787458856,0.6567164179,0.3432835821,GAIN_10_TO_25,228,201,1,0.004385964912,26,192,10,72,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
HpzStEbDFnX6Xnd9NHwPak73tj8vTSNEhaKBvTBETzii,EXITED,1,0.130917724,0.5267389088,0.2485438646,0.5,0.5,GAIN_10_TO_25,6,6,0,0,0,6,0,73,"null","null"
7yRCGpDvE6qSwHyzYH15dF53Yhugcqc8kXtRbU7omF4y,ACTIVE,0,0.1308818081,0.1666163949,0.7855277877,0.4342105263,0.5657894737,GAIN_10_TO_25,76,76,0,0,0,76,0,74,"null","null"
DwUgJedQSgqprjtTNeHYFYoKy3EX4kJNQQhMxShboPdM,ACTIVE,0,0.1304908635,0.2859057046,0.4564122416,0.6296296296,0.3703703704,GAIN_10_TO_25,28,27,0,0,1,23,4,75,"null","null"
38sSLDAaACSRBaiQahSZXaTPMuoe9cfwhNNUsHJPzPvR,EXITED,1,0.1285452973,0.4668029603,0.2753737833,0.6734693878,0.3163265306,GAIN_10_TO_25,98,98,0,0,0,98,0,76,"null","null"
ERvZoRsvyvzLFpnNtRQaNg7ETDKvdCyfLpYDmerLsw3i,EXITED,1,0.1274017155,0.3470994695,0.3670467019,0.5882352941,0.4117647059,GAIN_10_TO_25,17,17,0,0,0,17,0,77,"null","null"
EbaC2vzXYR2FEvCuuDfh6juQtZgEoHYynjp9ou15rnjM,ACTIVE,0,0.1273437963,0.2035232561,0.625696536,0.4473684211,0.5,GAIN_10_TO_25,39,38,0,0,3,34,2,78,"null","null"
FtZXkgdJGLZZkk2wUnH3F96Gw1LDj6oD5jSvuXnrmm3c,EXITED,1,0.1240339028,0.5023970578,0.2468842141,0.6,0.2,GAIN_10_TO_25,10,10,0,0,0,10,0,79,"null","null"
