SWAPPER,UNIQUE_TOKENS_TRADED,AVERAGE_ROI,EXPECTED_ROI,WALLET_STATUS
HnXe4hQsnvX4Sm5gxTXSHXrL4Z5HDfBVR1LYoKmqhfM3,10,-0.0006097509605,-0.0006097509605,ACTIVE
AQzvqop5uJdkCFTA2fLU8bvgay8MWmGFJ77HjuQ44471,13,-0.0006697284661,-0.0006697291697,ACTIVE
6R16ccjzson9Wp3NL3baFa2zBio8gaZAd81pA9g69eMJ,12,-0.0006753682407,-0.0006753672602,ACTIVE
BQ7rcjhscKEaXnwJ1Ghq7ZFF7t54Lcb3cnTWX5ahT14,16,-0.0006934792172,-0.0006934792172,ACTIVE
EHVVCrTvPMzjJpzGVALwe2ViPfuR1Z9MNfnGvkFayoxi,8,-0.0007267499386,-0.0007267499386,CHURNED
AP5G4PzcaW6VFAwGBMSxfpzeGdYGsRZr55ww3oLf7x3D,15,-0.00076136763,-0.0007612084767,ACTIVE
FM1cgd6oRVLAWAgc4ruY7hPFEdyiabWzJMUiaBFAThUR,9,-0.0009271054485,-0.0009271055644,ACTIVE
HRJcTchj1SpbMVLZD8941YSNFP3cfPxGXjHsvpearjUn,16,-0.0009350032672,-0.0009350032672,ACTIVE
2RPRfXzWiMK5w64fvermYFUaZLp4vSBqJ3yUJQcJGeDj,11,-0.0009661225897,-0.0009661227038,ACTIVE
26PTj4sH4nHxUqxcGhXn1SMy5sWTwaFZz4aGpZ6eTTm1,12,-0.001014364991,-0.001014364991,ACTIVE
8YnaAPPa8qzeRxEKpLVy6S8Z9aU6KTpLLgbfJQ5pf8ZT,16,-0.00104745178,-0.00104745178,CHURNED
25ViGJLmKvMm5jiFoy76MjsvhgkARi9EMqZ6TMYq8sGU,10,-0.00118931612,-0.00118931612,ACTIVE
DvWXXk2z4YQKEoZ3agS9EFN2p7WFHaQoHLTxsgCHAeAV,16,-0.001322033556,-0.001322033556,ACTIVE
3KhSffJi96dfT2DpDRSbFs4Xgt3D27FCT2gwU31pRrMS,20,-0.001615152096,-0.001615152096,ACTIVE
BdEg9YPZhg62x1EKQ5KcbEhHHBE1Ms6j9b2ZrV7T58jj,16,-0.001653401686,-0.001653401686,ACTIVE
DZmFXrbr16ioxUEjnvZWwrVvWgNx9t3CEDtEoftUfFbM,14,-0.001941432961,-0.001941431901,CHURNED
3Rn2RnE7GJ2BmGECjv5Hu1uTerSwJeFEvY2Qh91yNWY8,123,-0.002142554245,-0.002142924694,CHURNED
DPeTD3E9zUDFSrmYxF9iU4RtqXkA7CRFqFA1hQVCYvXQ,55,-0.002232021528,-0.002232023443,ACTIVE
3mvmVjqaExpU3w3x5vgY9PWy3ymVBBxBkfKqdWnc1wjn,20,-0.002300166695,-0.002300166695,ACTIVE
E8Qu7xaXKVKi8aERuFJMLWojbytH4UbLUTF424fHSLTC,4,-0.002635873622,-0.002635873622,ACTIVE
